               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.047833,             0.23205,                   0,             0.88338,             0.76727,             0.85113,             0.41622,            0.045316,             0.13522,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.047621,             0.22949,                   0,              0.8815,             0.76997,             0.85229,             0.42055,            0.045006,             0.13509,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.04768,             0.23053,                   0,             0.87932,             0.76912,             0.85144,             0.41619,            0.045175,             0.13534,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.047265,             0.22899,                   0,             0.88074,              0.7702,             0.85176,             0.42076,             0.04503,             0.13525,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.047566,             0.22963,                   0,              0.8823,              0.7662,             0.84954,              0.4191,            0.045157,             0.13527,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.047418,             0.22852,                   0,              0.8827,             0.76526,             0.84915,             0.41458,            0.045284,             0.13556,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.047489,             0.22999,                   0,             0.87847,              0.7617,             0.84506,             0.40897,            0.045699,             0.13604,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.047454,             0.23004,                   0,             0.88096,             0.76114,             0.84625,             0.41345,            0.045397,             0.13605,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.047447,             0.23067,                   0,             0.88549,              0.7739,             0.85554,             0.42414,            0.044686,             0.13455,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.047363,             0.22948,                   0,             0.88177,             0.77009,             0.85195,             0.42137,            0.044904,             0.13509,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.047257,             0.22648,                   0,             0.88127,             0.77191,             0.85137,             0.41723,            0.045158,             0.13519,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.04729,             0.22929,                   0,             0.87987,             0.76962,             0.85054,             0.41496,            0.045322,             0.13532,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.047486,              0.2324,                   0,             0.88003,             0.76934,             0.85065,             0.41741,            0.045202,             0.13503,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.047385,             0.22984,                   0,             0.88322,             0.76844,             0.85093,             0.41879,            0.045044,             0.13524,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.047543,             0.23349,                   0,             0.88014,             0.77077,             0.85168,             0.41373,             0.04533,             0.13495,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.047292,              0.2313,                   0,              0.8817,             0.76872,             0.85082,             0.41768,            0.045124,             0.13519,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.047354,             0.22982,                   0,              0.8815,             0.76772,             0.85029,             0.41853,            0.045032,             0.13514,                   0,            0.000298,            0.000298,            0.000298
